location,days,time,room
Pittsburgh,Fri.,11:00 AM - 12:20 PM ET,DH A302
Silicon Valley,Fri.,8:00 AM - 9:20 AM PT,B23 118
Rwanda,Fri.,5:00 PM - 6:20 PM CAT,CMU REMOTE
