location,days,time,room
Pittsburgh,Mon. and Wed.,12:30 PM - 1:50 PM ET,BH A36
Silicon Valley,Mon. and Wed.,9:30 AM - 10:50 AM PT,B23 212
Rwanda,Mon. and Wed.,6:30 PM - 7:50 PM CAT,CMU REMOTE
